#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,Josh Allen,QB,BUF,12.0,23.7,22.3,36.5,28.8,14.9,25.3,30.1,25.7,16.4,23.5,40.7,0.0,21.5,16.2,26.0,22.2,25.1,24.2,410.6
2,CeeDee Lamb,WR,DAL,11.7,25.3,10.2,14.8,8.9,18.7,0.0,41.0,28.1,39.5,16.5,17.3,32.6,19.1,18.6,25.2,40.2,35.5,23.7,403.2
3,Christian McCaffrey,RB,SF,25.9,22.5,22.9,48.7,13.8,14.2,22.6,29.8,0.0,20.2,21.3,30.9,22.3,16.3,41.7,25.1,13.1,0.0,24.5,391.3
4,Tyreek Hill,WR,MIA,44.5,15.0,30.7,10.2,32.1,28.3,25.8,25.2,12.5,0.0,30.6,25.4,32.3,10.1,0.0,18.9,13.6,21.2,23.5,376.4
5,Jalen Hurts,QB,PHI,12.5,26.2,21.9,24.2,28.3,22.9,24.3,27.4,25.9,0.0,19.9,35.5,23.9,8.9,23.9,24.4,20.2,1.6,21.9,371.8
6,Dak Prescott,QB,DAL,6.3,19.6,15.4,14.3,7.3,24.9,0.0,29.1,28.4,38.9,16.2,32.2,28.3,17.9,7.1,18.6,21.3,26.2,20.7,351.8
7,Lamar Jackson,QB,BAL,7.6,22.9,28.2,28.1,10.9,18.1,33.9,12.0,11.5,15.0,24.0,15.0,0.0,32.6,19.5,22.6,36.3,0.0,21.1,338.2
8,Amon-Ra St. Brown,WR,DET,19.1,14.2,19.6,16.6,0.0,30.4,23.2,16.8,0.0,30.5,21.7,18.5,12.9,5.1,24.2,28.6,22.1,27.4,20.7,330.9
9,Jordan Love,QB,GB,23.0,20.3,25.3,19.6,8.0,0.0,16.3,15.6,13.8,18.7,20.9,26.6,23.7,9.9,17.5,24.0,28.4,18.5,19.4,330.1
10,Brock Purdy,QB,SF,16.8,14.7,20.3,21.3,26.1,8.7,14.8,20.3,0.0,23.8,26.7,11.5,29.5,22.4,25.7,6.4,17.6,0.0,19.2,306.6
11,Jared Goff,QB,DET,14.0,23.9,19.0,12.4,27.4,22.4,10.4,13.7,0.0,21.1,16.7,18.2,16.3,8.4,31.1,14.3,12.8,20.8,17.8,303.1
12,Puka Nacua,WR,LAR,21.9,30.1,12.2,31.3,20.1,6.6,23.4,7.3,6.2,0.0,18.7,6.7,23.9,14.0,10.3,33.0,18.7,14.1,17.6,298.5
13,Patrick Mahomes II,QB,KC,20.5,22.2,25.7,15.2,19.2,18.3,34.9,7.6,15.8,0.0,17.9,20.8,14.0,14.6,17.7,17.7,12.0,0.0,18.4,294.2
14,Breece Hall,RB,NYJ,15.7,0.9,3.7,9.9,28.4,20.3,0.0,21.3,10.0,10.5,18.3,11.9,10.5,26.6,2.8,43.1,27.6,29.0,17.1,290.5
15,A.J. Brown,WR,PHI,14.9,6.9,22.1,38.5,18.7,20.1,29.7,33.0,19.6,0.0,1.8,14.7,19.4,16.4,10.6,14.0,9.3,-0.1,17.0,289.6
16,DJ Moore,WR,CHI,4.5,16.4,13.1,27.1,49.0,10.1,13.4,9.5,5.4,10.9,22.6,22.4,0.0,26.8,9.2,4.8,30.9,10.4,16.9,286.5
17,Tua Tagovailoa,QB,MIA,28.1,13.3,28.4,15.0,18.9,22.5,11.3,22.8,12.4,0.0,18.6,9.8,19.2,9.1,13.0,15.5,16.9,9.6,16.7,284.4
18,Baker Mayfield,QB,TB,16.0,18.4,11.0,23.9,0.0,7.8,17.2,21.4,19.0,19.3,11.3,14.4,10.9,20.1,29.0,19.8,18.3,6.2,16.7,284.1
19,Mike Evans,WR,TB,18.6,29.1,17.0,7.0,0.0,8.9,20.2,12.9,12.7,26.3,15.3,25.0,29.2,1.8,15.7,27.6,10.0,5.2,16.6,282.5
20,Travis Etienne Jr.,RB,JAC,21.4,6.2,17.8,10.2,36.4,23.3,22.7,25.9,0.0,6.4,8.9,12.6,17.9,17.2,9.9,6.1,25.8,13.7,16.6,282.4
21,C.J. Stroud,QB,HOU,10.7,21.5,20.6,21.8,14.2,15.2,0.0,12.9,41.8,20.0,18.3,30.9,16.1,3.6,0.0,0.0,12.9,20.6,18.7,281.0
22,Keenan Allen,WR,CHI,14.2,31.1,45.5,12.2,0.0,21.5,9.5,14.9,15.7,40.5,27.6,22.6,10.8,12.8,0.0,0.0,0.0,0.0,21.5,278.9
23,Sam Howell,QB,SEA,16.2,21.3,4.6,19.6,26.4,18.3,10.5,32.0,18.7,24.2,20.7,18.3,20.2,0.0,9.3,0.2,8.7,9.4,16.4,278.5
24,Trevor Lawrence,QB,JAC,18.7,9.2,15.4,16.5,15.7,15.7,18.1,15.7,0.0,4.1,32.2,25.6,25.1,20.4,14.7,11.3,0.0,18.2,17.3,276.5
25,Stefon Diggs,WR,HOU,26.2,13.6,19.1,36.0,24.1,20.0,17.8,16.0,22.6,6.4,6.7,19.4,0.0,6.4,8.8,7.9,7.1,15.7,16.1,273.8
26,Rachaad White,RB,TB,6.9,21.3,7.2,10.8,0.0,6.8,15.9,17.9,27.9,17.8,17.8,13.0,19.6,21.5,21.9,19.7,8.6,13.3,15.8,267.9
27,Raheem Mostert,RB,MIA,13.0,25.7,45.2,5.5,15.8,34.2,6.1,10.6,14.5,0.0,10.3,21.4,12.1,23.0,18.3,12.0,0.0,0.0,17.8,267.7
28,Joe Mixon,RB,HOU,10.3,13.5,14.0,8.6,13.4,9.2,0.0,20.0,17.8,12.5,21.0,8.0,29.7,21.5,15.1,9.0,18.7,24.7,15.7,267.0
29,Davante Adams,WR,LV,12.6,20.4,42.2,15.5,8.5,4.9,12.7,2.1,7.4,14.6,21.2,12.3,0.0,12.3,24.1,1.4,37.6,15.6,15.6,265.4
30,Russell Wilson,QB,PIT,15.2,26.9,15.2,22.2,18.7,8.9,13.9,17.6,0.0,18.7,14.5,16.8,18.8,16.5,17.5,23.5,0.0,0.0,17.7,264.9
31,Ja'Marr Chase,WR,CIN,9.1,8.1,26.1,14.3,52.2,14.0,0.0,25.2,8.1,23.4,9.2,12.1,31.6,5.9,10.4,0.0,7.1,5.9,16.4,262.7
32,Nico Collins,WR,HOU,14.0,27.6,5.4,35.8,6.9,12.0,0.0,7.0,14.4,0.0,13.5,23.4,34.1,2.3,0.0,13.8,15.7,34.5,17.4,260.4
33,Kyren Williams,RB,LAR,17.4,28.0,8.5,27.7,7.7,21.8,0.0,0.0,0.0,0.0,0.0,38.4,20.2,14.3,24.5,16.4,30.1,0.0,21.3,255.0
34,Matthew Stafford,QB,LAR,14.5,16.0,13.5,17.2,16.9,13.2,15.0,12.4,0.0,0.0,10.7,24.4,23.0,23.7,18.5,20.7,14.6,0.0,16.9,254.1
35,Michael Pittman Jr.,WR,IND,23.7,13.6,16.7,4.5,10.2,19.9,16.3,18.0,14.4,16.4,0.0,20.7,27.5,19.5,11.8,0.0,9.6,7.4,15.6,250.2
36,Brandon Aiyuk,WR,SF,32.9,7.3,0.0,20.8,9.8,11.6,10.7,15.9,0.0,14.5,26.6,13.0,15.6,16.6,6.7,17.3,24.4,5.5,15.6,249.2
37,Derek Carr,QB,NO,15.6,7.7,8.1,3.2,15.7,17.3,18.4,18.3,16.7,5.4,0.0,11.9,9.9,11.8,20.3,26.0,15.6,27.2,14.7,249.1
38,Derrick Henry,RB,BAL,13.9,18.5,2.0,24.4,9.2,19.3,0.0,16.2,19.2,3.0,5.4,20.6,25.0,18.1,5.0,21.4,4.2,21.3,14.5,246.7
39,Bijan Robinson,RB,ATL,20.3,21.2,10.0,18.7,11.8,13.0,0.3,12.2,5.9,17.6,0.0,27.3,10.9,19.8,0.4,19.2,11.6,26.1,14.5,246.3
40,Deebo Samuel Sr.,WR,SF,11.3,22.1,25.1,0.6,11.5,1.1,0.0,0.0,0.0,15.9,9.2,22.4,35.8,34.0,21.9,9.4,18.2,5.2,16.2,243.7
41,Jahmyr Gibbs,RB,DET,8.0,12.6,9.2,9.1,0.0,0.0,27.6,29.9,0.0,26.2,21.5,11.3,6.4,17.2,24.8,24.0,5.3,9.0,16.1,242.1
42,Justin Herbert,QB,LAC,20.9,22.2,29.3,24.4,0.0,20.1,12.9,24.0,7.1,29.4,25.7,14.4,8.0,2.8,0.0,0.0,0.0,0.0,18.6,241.2
43,Sam LaPorta,TE,DET,8.9,11.3,22.4,9.6,19.7,7.6,11.2,19.7,0.0,8.0,6.8,17.7,29.0,4.7,28.6,4.8,15.4,13.9,14.1,239.3
44,Justin Fields,QB,PIT,15.5,16.7,11.7,28.9,33.0,5.9,0.0,0.0,0.0,0.0,21.2,10.6,0.0,24.7,11.6,25.5,25.2,8.6,18.4,239.2
45,Geno Smith,QB,SEA,9.1,23.1,16.4,9.2,0.0,13.0,14.8,15.9,3.7,24.1,13.2,8.3,31.0,0.0,0.0,17.3,16.9,20.4,15.8,236.3
46,Alvin Kamara,RB,NO,0.0,0.0,0.0,21.4,18.7,17.4,29.3,27.0,11.0,18.5,0.0,15.9,28.9,13.5,16.0,8.5,6.9,0.0,17.9,233.0
47,James Cook,RB,BUF,10.3,19.9,13.2,14.7,5.1,7.1,19.2,8.3,7.9,12.0,19.2,16.0,0.0,25.1,36.1,5.0,5.4,8.2,13.7,232.7
48,Chris Olave,WR,NO,19.2,14.6,18.4,1.4,9.2,16.6,12.7,9.6,16.6,21.4,0.0,18.4,16.9,12.8,0.0,23.3,5.6,14.6,14.5,231.3
49,Adam Thielen,WR,CAR,3.2,20.4,31.5,15.2,27.7,28.5,0.0,15.2,7.9,10.2,15.4,1.2,5.5,12.4,8.3,15.4,9.8,3.2,13.6,231.0
50,Evan Engram,TE,JAC,9.9,11.7,13.7,12.9,6.8,11.1,9.5,16.8,0.0,5.2,6.9,9.9,23.2,32.5,6.8,17.5,12.0,23.9,13.5,230.3
51,Calvin Ridley,WR,TEN,24.1,5.2,7.0,11.8,20.6,6.6,1.5,14.3,0.0,4.0,31.1,21.9,7.3,9.3,8.9,25.8,7.9,22.6,13.5,229.9
52,DeVonta Smith,WR,PHI,17.7,23.1,6.8,14.8,1.6,9.4,8.9,22.9,14.1,0.0,15.9,23.6,24.6,10.3,10.0,17.9,6.0,0.0,14.2,227.6
53,Amari Cooper,WR,CLE,6.7,16.0,24.6,2.6,0.0,14.8,4.2,14.9,24.9,15.8,7.4,3.6,6.4,12.7,20.9,51.5,0.0,0.0,15.1,227.0
54,DK Metcalf,WR,SEA,13.7,13.5,17.2,12.4,0.0,10.9,0.0,11.7,6.0,16.8,20.4,6.2,37.4,13.2,12.8,15.6,15.6,2.0,14.1,225.4
55,DeAndre Hopkins,WR,TEN,13.5,8.0,7.8,10.3,22.0,3.0,0.0,34.8,10.5,5.7,15.9,7.9,18.9,25.4,4.1,4.0,14.2,17.6,13.2,223.6
56,Saquon Barkley,RB,PHI,9.3,27.2,0.0,0.0,0.0,13.8,18.8,15.8,14.3,7.1,30.0,6.2,0.0,23.1,5.7,19.4,8.8,23.7,15.9,223.2
57,Tony Pollard,RB,TEN,22.2,19.9,15.1,9.0,8.4,17.0,0.0,6.5,9.3,5.5,18.0,22.3,17.3,16.6,7.7,5.3,5.9,16.6,13.1,222.6
58,Jordan Addison,WR,MIN,16.1,16.2,11.2,0.0,18.4,11.8,31.3,21.4,10.2,10.9,7.4,9.9,0.0,4.7,29.1,1.2,5.8,15.7,13.0,221.3
59,Travis Kelce,TE,KC,0.0,12.6,19.9,12.0,22.7,21.4,35.9,11.8,4.4,0.0,15.4,15.1,12.1,14.3,7.8,9.4,4.6,0.0,14.6,219.4
60,T.J. Hockenson,TE,MIN,11.5,25.6,13.8,4.4,10.1,11.0,19.6,20.8,13.9,30.4,9.5,16.0,0.0,10.3,12.3,9.8,0.0,0.0,14.6,219.0
61,Jakobi Meyers,WR,LV,29.1,0.0,15.5,5.3,20.5,17.1,18.0,2.9,13.5,4.1,8.9,20.1,0.0,7.5,15.7,7.2,11.6,21.6,13.7,218.6
62,Jayden Reed,WR,GB,6.6,19.7,9.3,10.5,1.7,0.0,11.1,12.3,7.0,19.4,19.2,15.0,5.6,20.5,17.2,0.0,26.9,15.2,13.6,217.2
63,Isiah Pacheco,RB,KC,9.4,8.0,15.8,24.8,13.4,15.8,16.0,6.7,6.6,0.0,10.1,25.9,21.3,0.0,0.0,10.6,29.5,0.0,15.3,213.9
64,Garrett Wilson,WR,NYJ,14.4,16.3,9.8,15.0,8.4,17.0,0.0,17.6,13.0,18.3,0.9,17.4,8.0,20.1,5.9,15.8,9.9,5.4,12.5,213.2
65,Rashee Rice,WR,KC,11.6,4.0,10.9,6.2,13.3,11.2,17.0,9.6,9.7,0.0,8.2,24.7,14.4,18.2,24.1,11.7,17.7,0.0,13.3,212.5
